"filename", "language", "nix", "Markdown", "Properties", "JSON with Comments", "JavaScript", "CSS", "Shell Script", "Docker", "YAML", "XML", "TypeScript JSX", "HTML", "TypeScript", "comment", "blank", "total"
"/home/jan/git/personal/next-gen-rooms/frontend/src/helpers/api.js", "JavaScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 86
"/home/jan/git/personal/next-gen-rooms/frontend/src/helpers/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jan/git/personal/next-gen-rooms/frontend/src/index.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 18
"/home/jan/git/personal/next-gen-rooms/frontend/src/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/jan/git/personal/next-gen-rooms/frontend/src/next-gen-rooms.code-workspace", "JSON with Comments", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/BaseLayout.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/ChangePw.js", "JavaScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 78
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/Debug.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/Login.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/Logout.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 30
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/Register.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 76
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/RoomEdit.js", "JavaScript", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 180
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/RoomList.js", "JavaScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 99
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/RoomOverview.js", "JavaScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 74
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/Users.js", "JavaScript", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 127
"/home/jan/git/personal/next-gen-rooms/frontend/src/pages/Verify.js", "JavaScript", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 92
"/home/jan/git/personal/next-gen-rooms/frontend/src/provider/AdminRoute.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/home/jan/git/personal/next-gen-rooms/frontend/src/provider/AuthProvider.js", "JavaScript", 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 214
"/home/jan/git/personal/next-gen-rooms/frontend/src/provider/ProtectedRoute.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/home/jan/git/personal/next-gen-rooms/frontend/src/provider/RoomStatus.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 17, 20, 166
"/home/jan/git/personal/next-gen-rooms/frontend/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/jan/git/personal/next-gen-rooms/frontend/src/setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/home/jan/git/personal/next-gen-rooms/shell.nix", "nix", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"Total", "-", 17, 75, 23, 22, 1607, 374, 2, 11, 47, 49, 129, 20, 121, 89, 375, 2961
